,id,created_at,full_text,cleaned_text
10,1262787562206367744,2020-05-19 16:49:50,b'\xe2\x80\x9cThe Massive Trump Coronavirus Supply Effort that the Media Loves to Hate\xe2\x80\x9d @RichLowry https://t.co/VChm4ELmKZ',cthe massive trump coronavirus supply effort that the media loves to hated 
48,1262155040107704328,2020-05-17 22:56:25,"b'The number of Coronavirus cases is strongly trending downward throughout the United States, with few exceptions. Very good news, indeed!'",the number of coronavirus cases is strongly trending downward throughout the united states with few exceptions very good news indeed
57,1262020427582451717,2020-05-17 14:01:31,"b'Doing REALLY well, medically, on solving the CoronaVirus situation (Plague!). It will happen!'",doing really well medically on solving the coronavirus situation plague it will happen
76,1261650261862383616,2020-05-16 13:30:37,"b'We\xe2\x80\x99ve done a GREAT job on Covid response, making all Governors look good, some fantastic (and that\xe2\x80\x99s OK), but the Lamestream Media doesn\xe2\x80\x99t want to go with that narrative, and the Do Nothing Dems talking point is to say only bad about \xe2\x80\x9cTrump\xe2\x80\x9d. I made everybody look good, but me!'",weve done a great job on covid response making all governors look good some fantastic and thats ok but the lamestream media doesnt want to go with that narrative and the do nothing dems talking point is to say only bad about ctrumpd i made everybody look good but me
91,1261368451555360774,2020-05-15 18:50:48,b'I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and @narendramodi during this pandemic. We\xe2\x80\x99re also cooperating on vaccine development. Together we will beat the invisible enemy!',i am proud to announce that the united states will donate ventilators to our friends in india we stand with india and during this pandemic were also cooperating on vaccine development together we will beat the invisible enemy
109,1260919777301798912,2020-05-14 13:07:56,"b'Good numbers coming out of States that are opening. America is getting its life back! Vaccine work is looking VERY promising, before end of year. Likewise, other solutions!'",good numbers coming out of states that are opening america is getting its life back vaccine work is looking very promising before end of year likewise other solutions
118,1260578860992737285,2020-05-13 14:33:15,"b'As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn\xe2\x80\x99t make up the difference - and all those innocent lives lost!'",as i have said for a long time dealing with china is a very expensive thing to do we just made a great trade deal the ink was barely dry and the world was hit by the plague from china 0 trade deals wouldnt make up the difference and all those innocent lives lost
133,1260177007490600960,2020-05-12 11:56:26,"b'Remember this, every Governor who has sky high approval on their handling of the Coronavirus, and I am happy for them all, could in no way have gotten those numbers, or had that success, without me and the Federal Governments help. From Ventilators to Testing, we made it happen!'",remember this every governor who has sky high approval on their handling of the coronavirus and i am happy for them all could in no way have gotten those numbers or had that success without me and the federal governments help from ventilators to testing we made it happen
167,1259844948960120833,2020-05-11 13:56:57,"b'Coronavirus numbers are looking MUCH better, going down almost everywhere. Big progress being made!'",coronavirus numbers are looking much better going down almost everywhere big progress being made
169,1259842012632821767,2020-05-11 13:45:17,"b'Great credit being given for our Coronavirus response, except in the Fake News. They are a disgrace to America!'",great credit being given for our coronavirus response except in the fake news they are a disgrace to america
175,1259625738858303490,2020-05-10 23:25:53,"b'.@CBS and their show, @60Minutes, are doing everything within their power, which is far less today than it was in the past, to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!'", and their show @0minutes are doing everything within their power which is far less today than it was in the past to defend china and the horrible virus pandemic that was inflicted on the usa and the rest of the world i guess they want to do business in china
188,1259450328048709633,2020-05-10 11:48:52,"b'We are getting great marks for the handling of the CoronaVirus pandemic, especially the very early BAN of people from China, the infectious source, entering the USA. Compare that to the Obama/Sleepy Joe disaster known as H1N1 Swine Flu. Poor marks, bad polls - didn\xe2\x80\x99t have a clue!'",we are getting great marks for the handling of the coronavirus pandemic especially the very early ban of people from china the infectious source entering the usa compare that to the obamasleepy joe disaster known as h0n0 swine flu poor marks bad polls didnt have a clue
226,1258020179692445697,2020-05-06 13:05:58,"b'The White House CoronaVirus Task Force, headed by Vice President Mike Pence, has done a fantastic job of bringing together vast highly complex resources that have set a high standard for others to follow in the future. Ventilators, which were few &amp; in bad shape, are now being....'",the white house coronavirus task force headed by vice president mike pence has done a fantastic job of bringing together vast highly complex resources that have set a high standard for others to follow in the future ventilators which were few amp in bad shape are now being
234,1257741326650470400,2020-05-05 18:37:54,"b'Well run States should not be bailing out poorly run States, using CoronaVirus as the excuse! The elimination of Sanctuary Cities, Payroll Taxes, and perhaps Capital Gains Taxes, must be put on the table. Also lawsuit indemnification &amp; business deductions for restaurants &amp; ent.'",well run states should not be bailing out poorly run states using coronavirus as the excuse the elimination of sanctuary cities payroll taxes and perhaps capital gains taxes must be put on the table also lawsuit indemnification amp business deductions for restaurants amp ent
248,1257304527843110914,2020-05-04 13:42:13,"b'Mexico is sadly experiencing very big CoronaVirus problems, and now California, get this, doesn\xe2\x80\x99t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!'",mexico is sadly experiencing very big coronavirus problems and now california get this doesnt want people coming over the southern border a classic they are sooo lucky that i am their president border is very tight and the wall is rapidly being built
251,1257283775375040512,2020-05-04 12:19:45,"b'Getting great reviews, finally, for how well we are handling the pandemic, especially our strong production of desperately needed ventilators, the building of field hospitals &amp; beds, and soon, the great things we are doing on testing. People are really working well together!'",getting great reviews finally for how well we are handling the pandemic especially our strong production of desperately needed ventilators the building of field hospitals amp beds and soon the great things we are doing on testing people are really working well together
257,1257041819097092096,2020-05-03 20:18:19,"b'Intelligence has just reported to me that I was correct, and that they did NOT bring up the CoronaVirus subject matter until late into January, just prior to my banning China from the U.S. Also, they only spoke of the Virus in a very non-threatening, or matter of fact, manner...'",intelligence has just reported to me that i was correct and that they did not bring up the coronavirus subject matter until late into january just prior to my banning china from the us also they only spoke of the virus in a very nonthreatening or matter of fact manner
259,1256957565562486784,2020-05-03 14:43:31,"b'....And then came a Plague, a great and powerful Plague, and the World was never to be the same again! But America rose from this death and destruction, always remembering its many lost souls, and the lost souls all over the World, and became greater than ever before!'",and then came a plague a great and powerful plague and the world was never to be the same again but america rose from this death and destruction always remembering its many lost souls and the lost souls all over the world and became greater than ever before
274,1256720284540981248,2020-05-02 23:00:39,"b'The Democrats are just, as always, looking for trouble. They do nothing constructive, even in times of crisis. They don\xe2\x80\x99t want to blame their cash cow, China, for the plague. China is blaming Europe. Dr. Fauci will be testifying before the Senate very soon! #DONOTHINGDEMOCRATS https://t.co/fgHuYeiOQY'",the democrats are just as always looking for trouble they do nothing constructive even in times of crisis they dont want to blame their cash cow china for the plague china is blaming europe dr fauci will be testifying before the senate very soon donothingdemocrats 
