id,label,rating,text
0,1,3,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal ."
1,1,4,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .
2,1,3,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece ."
3,1,3,Yet the act is still charming here .
4,1,4,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow ."
5,1,4,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
6,1,3,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .
7,1,4,a screenplay more ingeniously constructed than `` Memento ''
8,1,3,`` Extreme Ops '' exceeds expectations .
9,1,4,"Good fun , good action , good acting , good dialogue , good pace , good cinematography ."
10,1,4,Dramas like this make it human .
11,1,4,"Still , this flick is fun , and host to some truly excellent sequences ."
12,1,3,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .
13,1,3,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .
14,1,4,Absorbing character study by André Turpin .
15,1,3,"If you love reading and\/or poetry , then by all means check it out ."
16,1,4,You 'll probably love it .
17,1,3,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''"
18,1,4,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue ."
19,1,4,The actors are fantastic .
20,1,3,They are what makes it worth the trip to the theatre .
21,1,4,"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work ."
22,0,1,This is n't a new idea .
23,1,4,It 's been done before but never so vividly or with so much passion .
24,1,3,-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .
25,1,3,What `` Empire '' lacks in depth it makes up for with its heart .
26,1,4,"Light , silly , photographed with colour and depth , and rather a good time ."
27,1,3,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...
28,1,3,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .
29,1,3,Their computer-animated faces are very expressive .
30,1,3,"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-"
31,1,3,There 's an energy to Y Tu Mamá También .
32,1,4,"Much of it comes from the brave , uninhibited performances by its lead actors ."
33,1,3,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era
34,0,0,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''
35,1,3,"feeling to it , but like the 1920 's , the trip there is a great deal of fun ."
36,1,3,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''
37,0,1,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .
38,1,4,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen ."
39,1,3,"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out ."
40,1,4,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ."
41,1,3,"-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year ."
42,1,4,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .
43,1,4,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme ."
44,1,4,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half ."
45,1,4,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you ."
46,1,3,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story ."
47,1,3,A crisp psychological drama -LRB- and -RRB- a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .
48,1,3,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .
49,1,3,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '"
50,1,3,-LRB- The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . '
51,1,3,"A smart , steamy mix of road movie , coming-of-age story and political satire ."
52,0,1,The modern-day royals have nothing on these guys when it comes to scandals .
53,0,1,It 's only in fairy tales that princesses that are married for political reason live happily ever after .
54,1,4,"A terrific B movie -- in fact , the best in recent memory ."
55,1,3,`` Birthday Girl '' is an actor 's movie first and foremost .
56,1,4,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .
57,1,4,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven ."
58,1,3,What 's really so appealing about the characters is their resemblance to everyday children .
59,0,1,An absurdist spider web .
