,date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
0,2020-05-17,Autauga,Alabama,1001.0,110,4.0,110.0,,,
1,2020-05-17,Baldwin,Alabama,1003.0,254,8.0,254.0,,,
2,2020-05-17,Barbour,Alabama,1005.0,81,1.0,81.0,,,
3,2020-05-17,Bibb,Alabama,1007.0,50,1.0,50.0,,,
4,2020-05-17,Blount,Alabama,1009.0,46,1.0,46.0,,,
5,2020-05-17,Bullock,Alabama,1011.0,35,1.0,35.0,,,
6,2020-05-17,Butler,Alabama,1013.0,272,9.0,272.0,,,
7,2020-05-17,Calhoun,Alabama,1015.0,130,3.0,130.0,,,
8,2020-05-17,Chambers,Alabama,1017.0,328,22.0,328.0,,,
9,2020-05-17,Cherokee,Alabama,1019.0,27,0.0,27.0,,,
10,2020-05-17,Chilton,Alabama,1021.0,77,1.0,77.0,,,
11,2020-05-17,Choctaw,Alabama,1023.0,84,3.0,84.0,,,
12,2020-05-17,Clarke,Alabama,1025.0,74,2.0,74.0,,,
13,2020-05-17,Clay,Alabama,1027.0,27,2.0,27.0,,,
14,2020-05-17,Cleburne,Alabama,1029.0,13,1.0,13.0,,,
15,2020-05-17,Coffee,Alabama,1031.0,166,1.0,166.0,,,
16,2020-05-17,Colbert,Alabama,1033.0,91,2.0,91.0,,,
17,2020-05-17,Conecuh,Alabama,1035.0,18,0.0,18.0,,,
18,2020-05-17,Coosa,Alabama,1037.0,34,1.0,34.0,,,
19,2020-05-17,Covington,Alabama,1039.0,57,1.0,57.0,,,
20,2020-05-17,Crenshaw,Alabama,1041.0,53,1.0,53.0,,,
21,2020-05-17,Cullman,Alabama,1043.0,69,0.0,69.0,,,
22,2020-05-17,Dale,Alabama,1045.0,60,0.0,60.0,,,
23,2020-05-17,Dallas,Alabama,1047.0,146,3.0,146.0,,,
24,2020-05-17,DeKalb,Alabama,1049.0,192,2.0,192.0,,,
25,2020-05-17,Elmore,Alabama,1051.0,192,6.0,192.0,,,
26,2020-05-17,Escambia,Alabama,1053.0,39,3.0,39.0,,,
27,2020-05-17,Etowah,Alabama,1055.0,204,10.0,204.0,,,
28,2020-05-17,Fayette,Alabama,1057.0,9,0.0,9.0,,,
29,2020-05-17,Franklin,Alabama,1059.0,334,4.0,334.0,,,
30,2020-05-17,Geneva,Alabama,1061.0,20,0.0,20.0,,,
31,2020-05-17,Greene,Alabama,1063.0,81,4.0,81.0,,,
32,2020-05-17,Hale,Alabama,1065.0,85,2.0,85.0,,,
33,2020-05-17,Henry,Alabama,1067.0,39,1.0,39.0,,,
34,2020-05-17,Houston,Alabama,1069.0,132,4.0,132.0,,,
35,2020-05-17,Jackson,Alabama,1071.0,63,2.0,63.0,,,
36,2020-05-17,Jefferson,Alabama,1073.0,1333,74.0,1333.0,,,
37,2020-05-17,Lamar,Alabama,1075.0,15,0.0,15.0,,,
38,2020-05-17,Lauderdale,Alabama,1077.0,113,2.0,113.0,,,
39,2020-05-17,Lawrence,Alabama,1079.0,29,0.0,29.0,,,
40,2020-05-17,Lee,Alabama,1081.0,449,31.0,449.0,,,
41,2020-05-17,Limestone,Alabama,1083.0,64,0.0,64.0,,,
42,2020-05-17,Lowndes,Alabama,1085.0,128,9.0,128.0,,,
43,2020-05-17,Macon,Alabama,1087.0,55,2.0,55.0,,,
44,2020-05-17,Madison,Alabama,1089.0,275,4.0,275.0,,,
45,2020-05-17,Marengo,Alabama,1091.0,103,6.0,103.0,,,
46,2020-05-17,Marion,Alabama,1093.0,101,9.0,101.0,,,
47,2020-05-17,Marshall,Alabama,1095.0,624,9.0,624.0,,,
48,2020-05-17,Mobile,Alabama,1097.0,1701,101.0,1701.0,,,
49,2020-05-17,Monroe,Alabama,1099.0,20,2.0,20.0,,,
50,2020-05-17,Montgomery,Alabama,1101.0,823,20.0,823.0,,,
51,2020-05-17,Morgan,Alabama,1103.0,111,1.0,111.0,,,
52,2020-05-17,Perry,Alabama,1105.0,20,0.0,20.0,,,
53,2020-05-17,Pickens,Alabama,1107.0,78,3.0,78.0,,,
54,2020-05-17,Pike,Alabama,1109.0,106,0.0,106.0,,,
55,2020-05-17,Randolph,Alabama,1111.0,120,7.0,120.0,,,
56,2020-05-17,Russell,Alabama,1113.0,100,0.0,100.0,,,
57,2020-05-17,Shelby,Alabama,1117.0,399,19.0,399.0,,,
58,2020-05-17,St. Clair,Alabama,1115.0,90,1.0,90.0,,,
59,2020-05-17,Sumter,Alabama,1119.0,127,4.0,127.0,,,
60,2020-05-17,Talladega,Alabama,1121.0,78,2.0,78.0,,,
61,2020-05-17,Tallapoosa,Alabama,1123.0,358,57.0,358.0,,,
62,2020-05-17,Tuscaloosa,Alabama,1125.0,345,8.0,345.0,,,
63,2020-05-17,Walker,Alabama,1127.0,126,0.0,126.0,,,
64,2020-05-17,Washington,Alabama,1129.0,60,5.0,60.0,,,
65,2020-05-17,Wilcox,Alabama,1131.0,94,5.0,94.0,,,
66,2020-05-17,Winston,Alabama,1133.0,34,1.0,34.0,,,
67,2020-05-17,Anchorage,Alaska,2020.0,204,4.0,204.0,4.0,,
68,2020-05-17,Bethel Census Area,Alaska,2050.0,2,0.0,2.0,0.0,,
69,2020-05-17,Fairbanks North Star Borough,Alaska,2090.0,85,2.0,85.0,2.0,,
70,2020-05-17,Juneau City and Borough,Alaska,2110.0,30,0.0,30.0,0.0,,
71,2020-05-17,Kenai Peninsula Borough,Alaska,2122.0,25,1.0,25.0,1.0,,
72,2020-05-17,Ketchikan Gateway Borough,Alaska,2130.0,16,0.0,16.0,0.0,,
73,2020-05-17,Kodiak Island Borough,Alaska,2150.0,1,0.0,1.0,0.0,,
74,2020-05-17,Matanuska-Susitna Borough,Alaska,2170.0,21,1.0,21.0,1.0,,
75,2020-05-17,Nome Census Area,Alaska,2180.0,1,0.0,1.0,0.0,,
76,2020-05-17,Petersburg Borough,Alaska,2195.0,3,0.0,3.0,0.0,,
77,2020-05-17,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0.0,2.0,0.0,,
78,2020-05-17,Sitka City and Borough,Alaska,2220.0,1,0.0,1.0,0.0,,
79,2020-05-17,Southeast Fairbanks Census Area,Alaska,2240.0,3,0.0,3.0,0.0,,
80,2020-05-17,Valdez-Cordova Census Area,Alaska,2261.0,1,0.0,1.0,,,
81,2020-05-17,Yukon-Koyukuk Census Area,Alaska,2290.0,1,0.0,1.0,0.0,,
82,2020-05-17,Apache,Arizona,4001.0,981,20.0,,,,
83,2020-05-17,Cochise,Arizona,4003.0,46,1.0,,,,
84,2020-05-17,Coconino,Arizona,4005.0,866,64.0,,,,
85,2020-05-17,Gila,Arizona,4007.0,22,1.0,,,,
86,2020-05-17,Graham,Arizona,4009.0,20,0.0,,,,
87,2020-05-17,Greenlee,Arizona,4011.0,2,0.0,,,,
88,2020-05-17,La Paz,Arizona,4012.0,38,2.0,,,,
89,2020-05-17,Maricopa,Arizona,4013.0,7240,319.0,,,,
90,2020-05-17,Mohave,Arizona,4015.0,250,28.0,,,,
91,2020-05-17,Navajo,Arizona,4017.0,1273,48.0,,,,
92,2020-05-17,Pima,Arizona,4019.0,1814,157.0,,,,
93,2020-05-17,Pinal,Arizona,4021.0,693,31.0,,,,
94,2020-05-17,Santa Cruz,Arizona,4023.0,75,0.0,,,,
95,2020-05-17,Yavapai,Arizona,4025.0,262,5.0,,,,
96,2020-05-17,Yuma,Arizona,4027.0,355,4.0,,,,
97,2020-05-17,Arkansas,Arkansas,5001.0,2,0.0,2.0,0.0,,
98,2020-05-17,Ashley,Arkansas,5003.0,18,0.0,18.0,0.0,,
99,2020-05-17,Baxter,Arkansas,5005.0,6,0.0,6.0,0.0,,
100,2020-05-17,Benton,Arkansas,5007.0,149,0.0,149.0,0.0,,
101,2020-05-17,Boone,Arkansas,5009.0,4,0.0,4.0,0.0,,
102,2020-05-17,Bradley,Arkansas,5011.0,15,1.0,15.0,1.0,,
103,2020-05-17,Carroll,Arkansas,5015.0,5,0.0,5.0,0.0,,
104,2020-05-17,Chicot,Arkansas,5017.0,10,0.0,10.0,0.0,,
105,2020-05-17,Clark,Arkansas,5019.0,35,0.0,35.0,0.0,,
106,2020-05-17,Clay,Arkansas,5021.0,3,0.0,3.0,0.0,,
107,2020-05-17,Cleburne,Arkansas,5023.0,72,4.0,72.0,4.0,,
108,2020-05-17,Cleveland,Arkansas,5025.0,16,0.0,16.0,0.0,,
109,2020-05-17,Columbia,Arkansas,5027.0,15,2.0,15.0,2.0,,
110,2020-05-17,Conway,Arkansas,5029.0,14,1.0,14.0,1.0,,
111,2020-05-17,Craighead,Arkansas,5031.0,140,0.0,140.0,0.0,,
112,2020-05-17,Crawford,Arkansas,5033.0,11,0.0,11.0,0.0,,
113,2020-05-17,Crittenden,Arkansas,5035.0,234,7.0,234.0,7.0,,
114,2020-05-17,Cross,Arkansas,5037.0,35,0.0,35.0,0.0,,
115,2020-05-17,Dallas,Arkansas,5039.0,1,0.0,1.0,0.0,,
116,2020-05-17,Desha,Arkansas,5041.0,18,0.0,18.0,0.0,,
117,2020-05-17,Drew,Arkansas,5043.0,19,1.0,19.0,1.0,,
118,2020-05-17,Faulkner,Arkansas,5045.0,93,3.0,93.0,3.0,,
119,2020-05-17,Franklin,Arkansas,5047.0,2,0.0,2.0,0.0,,
120,2020-05-17,Fulton,Arkansas,5049.0,4,0.0,4.0,0.0,,
121,2020-05-17,Garland,Arkansas,5051.0,129,1.0,129.0,1.0,,
122,2020-05-17,Grant,Arkansas,5053.0,16,0.0,16.0,0.0,,
123,2020-05-17,Greene,Arkansas,5055.0,24,0.0,24.0,0.0,,
124,2020-05-17,Hempstead,Arkansas,5057.0,9,1.0,9.0,1.0,,
125,2020-05-17,Hot Spring,Arkansas,5059.0,29,0.0,29.0,0.0,,
126,2020-05-17,Howard,Arkansas,5061.0,14,0.0,14.0,0.0,,
127,2020-05-17,Independence,Arkansas,5063.0,25,0.0,25.0,0.0,,
128,2020-05-17,Izard,Arkansas,5065.0,13,0.0,13.0,0.0,,
129,2020-05-17,Jackson,Arkansas,5067.0,1,0.0,1.0,0.0,,
130,2020-05-17,Jefferson,Arkansas,5069.0,491,19.0,491.0,19.0,,
131,2020-05-17,Johnson,Arkansas,5071.0,35,0.0,35.0,0.0,,
132,2020-05-17,Lafayette,Arkansas,5073.0,9,1.0,9.0,1.0,,
133,2020-05-17,Lawrence,Arkansas,5075.0,73,4.0,73.0,4.0,,
134,2020-05-17,Lee,Arkansas,5077.0,11,1.0,11.0,1.0,,
135,2020-05-17,Lincoln,Arkansas,5079.0,955,8.0,955.0,8.0,,
